USER_ID,EVENT_ID,RATING
0,53,3
0,81,1
0,30,5
0,33,4
0,50,5
0,49,5
0,88,3
0,11,1
0,36,2
0,35,1
1,60,1
1,55,3
1,86,3
1,90,5
1,72,5
1,26,4
1,42,5
1,52,3
1,32,5
1,15,3
1,18,5
1,50,3
1,63,3
1,12,2
1,2,3
1,11,3
1,84,3
1,39,5
1,44,5
1,82,5
1,13,4
1,49,2
1,85,1
1,21,2
1,70,4
1,35,2
1,24,3
1,38,5
1,20,3
1,80,4
1,58,5
1,29,5
1,41,5
1,57,2
1,67,2
1,68,3
1,88,2
1,8,5
1,30,1
1,47,2
1,92,4
1,37,2
1,77,3
1,4,5
1,61,5
1,81,4
1,23,5
1,33,1
1,73,3
1,64,3
1,43,2
1,89,2
1,17,1
1,45,2
1,9,4
1,46,5
1,91,2
1,69,3
1,36,2
1,76,4
1,6,4
2,14,5
2,26,1
2,60,1
2,18,2
2,92,2
2,3,3
2,50,3
2,9,4
2,8,3
2,21,5
2,15,1
2,11,2
2,13,5
2,78,4
2,39,4
3,32,2
3,33,5
3,25,4
3,14,4
3,46,1
3,76,3
3,29,4
3,47,5
3,55,3
3,34,1
3,85,2
3,74,3
3,44,2
3,75,4
3,60,5
3,87,2
4,13,4
4,45,1
4,69,3
4,24,4
4,26,2
4,7,1
4,64,4
4,32,4
4,9,4
4,76,5
4,28,4
4,21,5
4,59,3
4,29,5
4,52,4
4,34,3
4,91,1
4,62,1
4,42,2
4,36,4
4,67,3
4,58,4
4,71,5
4,89,1
4,37,3
4,79,3
4,50,4
4,78,4
4,88,5
5,33,3
5,34,3
5,12,5
5,72,1
5,10,2
5,43,4
5,13,4
5,0,5
5,37,1
5,21,5
5,2,3
6,84,2
6,80,3
6,3,5
6,37,5
6,48,4
6,91,3
6,4,5
6,47,1
6,2,1
6,25,1
6,35,3
6,54,4
6,29,5
6,62,3
7,3,4
7,59,5
7,77,3
8,19,3
8,66,3
8,5,4
8,92,1
8,82,5
8,45,5
8,51,5
8,23,2
8,15,3
8,55,4
8,40,4
8,63,5
8,64,2
8,34,4
8,10,1
8,49,1
8,4,2
9,18,2
9,24,2
9,35,3
9,83,4
9,61,3
9,58,5
9,14,2
10,67,5
10,92,1
10,12,3
10,42,2
10,29,1
10,61,5
10,6,3
10,54,2
10,70,1
10,69,3
10,57,1
10,65,3
10,83,3
10,59,1
10,37,3
10,14,5
10,13,3
10,45,4
10,58,3
10,43,1
11,15,2
11,20,5
11,72,5
12,48,5
12,43,4
12,57,5
12,56,2
12,90,5
12,45,2
12,64,5
12,60,4
12,53,5
12,50,4
12,47,2
12,75,2
12,41,1
12,10,5
12,82,5
12,23,3
12,15,1
12,76,3
12,34,3
12,74,3
12,61,3
12,81,4
13,64,4
14,83,3
14,40,3
14,12,5
14,29,3
14,38,1
14,39,3
14,14,5
14,80,2
14,13,3
14,72,2
16,3,5
16,84,1
16,58,4
16,27,4
16,28,2
16,34,3
16,53,4
16,7,4
16,22,5
16,10,3
16,47,4
16,13,5
16,90,2
16,25,2
17,78,5
17,25,5
17,4,2
17,51,5
17,31,2
17,10,5
17,88,3
17,35,4
17,16,3
17,7,2
17,19,4
17,42,5
17,82,1
17,36,1
17,90,1
17,55,3
17,68,3
17,0,2
17,85,3
17,11,4
17,76,5
17,60,4
17,92,5
18,14,2
18,61,5
18,70,1
18,28,3
18,43,1
18,36,3
18,67,1
18,53,3
18,44,1
18,9,3
18,39,5
18,63,1
18,15,1
18,2,3
18,72,5
18,50,1
18,92,1
18,75,4
18,68,5
18,5,5
18,57,5
18,86,5
18,60,3
18,26,1
18,51,5
18,54,3
18,88,5
18,81,5
18,42,2
18,82,5
18,80,3
18,49,3
18,29,4
18,16,3
18,87,3
18,89,4
18,85,1
18,37,3
18,13,2
