USER_ID,TOP 1 EVENT_ID,TOP 1 RATING,TOP 2 EVENT_ID,TOP 2 RATING,TOP 3 EVENT_ID,TOP 3 RATING,TOP 4 EVENT_ID,TOP 4 RATING,TOP 5 EVENT_ID,TOP 5 RATING
4900,22,0.9005709886550903,4,0.8998212814331055,34,0.8517680168151855,40,0.8185186386108398,23,0.8138184547424316
5300,39,0.8254678845405579,2,0.7065141797065735,70,0.6831254363059998,33,0.6618947386741638,77,0.6210117340087891
6620,49,0.8310074210166931,26,0.8282080888748169,64,0.7512081265449524,44,0.7327923774719238,81,0.7128848433494568
7240,10,0.7155848145484924,26,0.6772730350494385,81,0.6495963931083679,82,0.6429566144943237,55,0.6325556039810181
7340,15,1.08540940284729,77,0.9768970012664795,83,0.8224214315414429,89,0.8056438565254211,52,0.7877941131591797
7880,47,0.8768975734710693,79,0.8333882689476013,8,0.8332096934318542,42,0.8270159363746643,55,0.8206167221069336
9900,56,0.9184186458587646,67,0.8903220295906067,6,0.8587583303451538,8,0.8587434887886047,5,0.8583135604858398
471,39,0.9259259700775146,40,0.8834633827209473,51,0.8717444539070129,86,0.8591337203979492,71,0.8549642562866211
1591,35,0.8148242235183716,89,0.7852046489715576,40,0.7841863632202148,92,0.7591743469238281,30,0.7398350238800049
4101,2,0.8012510538101196,46,0.7855348587036133,11,0.7834745645523071,16,0.7792336940765381,92,0.7711698412895203
1342,87,0.8631529211997986,35,0.861348032951355,21,0.7841976881027222,30,0.7431157231330872,61,0.6997438073158264
2122,1,0.8741092085838318,84,0.8398361802101135,76,0.8120670914649963,28,0.797487199306488,5,0.7743366360664368
2142,77,0.7875633239746094,15,0.7181342840194702,3,0.7011231780052185,56,0.6778672933578491,38,0.6673605442047119
7982,0,0.35698482394218445,66,0.3498164117336273,43,0.34327661991119385,4,0.3394929766654968,92,0.32945340871810913
8592,2,0.9412609934806824,41,0.8642706871032715,37,0.8567497134208679,29,0.8417409658432007,17,0.8127583861351013
9852,62,0.7685976624488831,28,0.7300922870635986,84,0.7185630798339844,70,0.6901534795761108,76,0.6738060116767883
463,57,0.7651567459106445,1,0.7367243766784668,28,0.7324355840682983,11,0.7005804181098938,5,0.6737735867500305
833,48,0.7653396725654602,80,0.72320556640625,88,0.6786681413650513,64,0.6767784357070923,19,0.6578683853149414
5803,44,0.8150943517684937,55,0.7333147525787354,69,0.72203528881073,30,0.7065906524658203,42,0.6872812509536743
7253,4,0.8612656593322754,27,0.8041805624961853,29,0.7600473165512085,66,0.7395792603492737,62,0.7108580470085144
